@relation faces_pca

@attribute eigen000 numeric
@attribute eigen001 numeric
@attribute eigen002 numeric
@attribute eigen003 numeric
@attribute eigen004 numeric
@attribute eigen005 numeric
@attribute eigen006 numeric
@attribute eigen007 numeric
@attribute eigen008 numeric
@attribute eigen009 numeric
@attribute eigen010 numeric
@attribute eigen011 numeric
@attribute eigen012 numeric
@attribute eigen013 numeric
@attribute eigen014 numeric
@attribute eigen015 numeric
@attribute eigen016 numeric
@attribute eigen017 numeric
@attribute eigen018 numeric
@attribute eigen019 numeric
@attribute eigen020 numeric
@attribute eigen021 numeric
@attribute eigen022 numeric
@attribute eigen023 numeric
@attribute eigen024 numeric
@attribute eigen025 numeric
@attribute eigen026 numeric
@attribute eigen027 numeric
@attribute eigen028 numeric
@attribute eigen029 numeric
@attribute eigen030 numeric
@attribute eigen031 numeric
@attribute eigen032 numeric
@attribute eigen033 numeric
@attribute eigen034 numeric
@attribute eigen035 numeric
@attribute eigen036 numeric
@attribute eigen037 numeric
@attribute eigen038 numeric
@attribute eigen039 numeric
@attribute eigen040 numeric
@attribute eigen041 numeric
@attribute eigen042 numeric
@attribute eigen043 numeric
@attribute eigen044 numeric
@attribute eigen045 numeric
@attribute eigen046 numeric
@attribute eigen047 numeric
@attribute eigen048 numeric
@attribute eigen049 numeric
@attribute eigen050 numeric
@attribute eigen051 numeric
@attribute eigen052 numeric
@attribute eigen053 numeric
@attribute eigen054 numeric
@attribute eigen055 numeric
@attribute eigen056 numeric
@attribute eigen057 numeric
@attribute eigen058 numeric
@attribute eigen059 numeric
@attribute eigen060 numeric
@attribute eigen061 numeric
@attribute eigen062 numeric
@attribute eigen063 numeric
@attribute eigen064 numeric
@attribute eigen065 numeric
@attribute eigen066 numeric
@attribute eigen067 numeric
@attribute eigen068 numeric
@attribute eigen069 numeric
@attribute eigen070 numeric
@attribute eigen071 numeric
@attribute eigen072 numeric
@attribute eigen073 numeric
@attribute eigen074 numeric
@attribute eigen075 numeric
@attribute eigen076 numeric
@attribute eigen077 numeric
@attribute eigen078 numeric
@attribute eigen079 numeric
@attribute eigen080 numeric
@attribute eigen081 numeric
@attribute eigen082 numeric
@attribute eigen083 numeric
@attribute eigen084 numeric
@attribute eigen085 numeric
@attribute eigen086 numeric
@attribute eigen087 numeric
@attribute eigen088 numeric
@attribute eigen089 numeric
@attribute eigen090 numeric
@attribute eigen091 numeric
@attribute eigen092 numeric
@attribute eigen093 numeric
@attribute eigen094 numeric
@attribute eigen095 numeric
@attribute eigen096 numeric
@attribute eigen097 numeric
@attribute eigen098 numeric
@attribute eigen099 numeric
@attribute eigen100 numeric
@attribute eigen101 numeric
@attribute beautiful {true, false}

@data

198.660639,-4475.427700,1862.039823,-2400.539673,-1068.579868,2353.967007,434.865778,1379.351880,1101.982947,-357.885227,-907.713493,-300.691740,-589.260437,904.607618,285.323187,169.416580,-573.335029,265.615988,-586.782199,-190.455575,-740.999927,-328.610569,470.620766,361.989082,-184.578313,9.285800,-82.048425,113.192992,383.347763,-548.055043,140.729970,600.484705,-111.852088,192.302026,388.100827,-541.708972,300.892540,-167.360720,-300.040066,733.415773,-115.856882,-187.108607,-108.712772,-163.006210,217.616893,-460.240129,92.407483,-116.035042,-194.647379,-24.364207,-164.089451,-121.927047,-369.183676,-604.510512,-31.751292,436.128100,446.633317,-410.750801,167.442301,-270.463520,-16.195361,-524.039275,747.273146,-174.424078,-136.357003,251.198217,-556.856658,-12.644250,-435.018346,-248.134151,-312.067087,45.604917,8.897300,370.401419,63.354525,-172.727334,-63.411660,216.677996,-1.500832,86.737630,273.450099,-286.397536,211.388403,-234.863168,-31.946300,327.050861,-183.942991,142.681090,-209.499703,211.798003,167.211404,-15.103817,159.308539,37.789471,-140.793237,-14.998588,84.580627,115.725887,162.760527,-61.493804,-5.783348,0.000000,false
-58.998700,3760.741145,-266.849166,-2249.648736,-501.862811,2309.699653,1193.744343,1537.475613,-806.857095,-315.314025,506.868371,-891.519246,362.976106,119.848145,343.283651,-760.382569,-999.958037,-674.626609,423.484378,-372.309982,-553.035641,39.517012,472.747082,25.912975,-223.989870,-139.495559,-499.443792,-832.030726,193.916772,-336.330195,-232.555608,-328.323516,692.214846,381.935966,-349.556806,-695.428102,-6.914223,496.082367,491.724082,1.227532,-95.180687,-116.148682,326.589735,-204.585674,168.237927,-132.118992,-328.817850,568.055454,273.629377,-7.655255,-10.273226,97.265005,315.851527,-454.865443,-313.550562,101.041056,-232.200819,-305.633697,232.932973,203.959650,168.722542,171.113526,-351.886962,96.165110,50.126001,-84.487487,390.126206,-459.539788,143.558605,21.533730,-436.661110,8.098158,237.740740,49.253779,-99.489725,-165.409450,-143.781833,-30.777859,44.594372,228.110179,60.327074,-12.723180,20.551191,337.495991,243.631735,287.249743,494.117043,-288.384549,127.445682,-203.231575,136.989529,88.697064,309.079667,-285.217473,151.081278,162.374386,116.678279,-73.438263,288.472002,109.541835,-17.807274,-0.000000,true
-7714.488355,-2606.165287,37.924153,-287.619015,17.530385,978.480474,428.521391,-616.759015,-1162.587117,529.178684,-64.878094,539.995282,446.635584,536.370407,780.191199,1662.481465,-372.895319,640.139090,-459.370393,586.852242,336.963746,312.901437,467.579707,-198.355475,-259.506387,644.204635,639.511673,280.068506,-438.348155,-17.556118,-173.090780,-64.060778,-26.888957,-111.885196,293.091205,479.823855,143.561948,41.732379,-44.945815,422.805899,664.909508,-435.062339,-170.370298,-267.798357,-40.111258,408.822489,71.398999,-304.319435,-396.618306,-514.959778,60.456859,386.615650,732.842759,129.369912,-158.948858,83.902244,-350.114570,-197.059509,-251.351930,222.642164,-10.948702,345.995128,228.659693,324.885372,-154.219865,280.194039,148.667812,182.747537,-52.887210,-258.676013,248.373356,-74.956010,-192.256717,226.602060,-216.430296,-649.385359,257.056579,-100.284574,2.376156,142.581550,162.083872,308.282594,-127.264598,387.360040,34.294871,111.443131,-344.775906,-86.227765,275.999423,195.867774,-30.866583,44.923564,313.066120,-230.856986,221.433756,18.536055,146.807855,80.374491,57.793140,-35.403976,-30.431736,-0.000000,true
1614.013670,2040.890366,90.187814,-1842.638473,-473.247949,152.181616,399.070556,-888.265097,-76.114872,256.836011,-500.908153,-1569.382793,30.279664,-734.779311,647.200223,-408.221134,96.267845,-75.623107,-383.275089,-225.752401,-574.484702,704.100182,766.319660,-96.706582,-93.623201,409.385677,-20.227041,-81.168394,425.255908,-11.579157,161.997870,82.240033,43.851634,-194.347698,-434.608298,-276.963229,-204.213980,-422.983827,-272.985710,-157.617649,-424.933405,626.849589,9.762267,-74.782809,-16.918980,407.174027,87.388446,-393.324182,-335.489872,-384.572414,259.535905,451.399214,90.282652,-106.773374,491.119121,42.835287,90.718353,-58.087767,-150.826235,132.496236,161.892618,220.564696,243.452278,305.728336,-366.433552,-38.137682,285.071637,-108.747490,-82.692763,101.459337,-177.265092,-79.159319,-49.878948,130.340758,-61.301312,-95.692921,-327.042684,223.128124,-99.941997,-447.085118,452.575009,19.712345,-597.235451,-246.265900,481.816044,-653.266044,-189.599130,217.069421,-341.600944,-185.966732,69.487285,76.065087,-82.094077,106.855163,114.696177,140.004598,81.204282,-232.735984,115.838149,47.913573,-34.268826,0.000000,false
5767.132547,-787.471535,72.056443,-950.250311,354.358343,-382.082569,396.515906,31.514206,-492.775079,271.388516,730.747565,1074.601397,139.359022,188.997309,382.639768,-87.831421,183.704233,81.586763,-144.051782,493.907232,-30.662820,-1.616823,-571.486140,164.546975,-152.323464,-624.454984,181.976504,-106.907871,-202.382794,-345.846079,356.365758,-29.285255,381.534043,-87.437168,-399.663466,165.255173,164.973099,228.375540,-192.247373,368.205829,-57.438438,-103.628918,-50.098564,-99.148466,-278.824968,-69.946067,-297.446025,-39.114911,70.229072,-341.985431,65.217403,149.177137,-547.109373,133.988954,688.820321,225.771528,467.357507,-72.160404,-250.986556,303.868821,-186.352714,114.987519,67.764391,-182.958825,-195.244136,-268.464397,-440.909370,-136.759268,246.165218,-230.311073,-34.033817,107.149146,223.635162,-387.476989,-107.201665,-510.388682,-259.365939,-739.388265,-173.275739,-421.791509,-258.679711,404.986322,199.298567,-314.674777,458.968129,318.642794,19.374627,112.477851,430.413026,-128.163450,154.057153,209.397249,25.484596,212.738944,46.783408,-191.617522,-12.422973,-119.671217,66.343019,55.270201,-48.465223,-0.000000,true
2577.100843,1896.179861,-2190.166373,2902.392370,1513.723630,336.149594,-507.078362,319.473864,-18.241666,741.333921,1314.333683,-920.810714,-169.738759,867.171029,-585.536468,-591.468566,500.194767,392.873551,-628.313130,1091.371881,840.461744,-35.342235,881.885484,-622.017935,-1103.137101,-352.190550,-137.557948,-99.779329,-712.345672,-118.233158,-112.937309,333.671388,195.175453,-379.149845,-776.885611,-514.549612,-17.916211,-188.524840,82.657640,-554.623431,-229.725646,995.948588,-90.562180,131.758316,16.278409,-284.925223,71.359298,17.225652,-357.380229,-266.877534,-458.181977,152.633144,89.351767,-91.402875,-193.280701,175.899834,-224.826829,429.207044,436.195685,-116.443356,475.784565,-124.154071,214.842401,54.387392,231.558455,142.971370,-142.312592,223.058929,471.085595,-66.024032,204.643593,214.470372,-9.176508,231.695487,-617.775998,3.014793,-109.013860,-89.524935,39.689090,18.561319,39.621210,-249.591239,45.122022,-9.349557,-281.873483,129.030518,-28.794874,319.539204,282.266851,259.446536,324.085819,-56.402686,-55.651441,-1.520183,18.122852,-8.322697,40.516171,-59.515187,44.897458,48.999538,-28.937018,-0.000000,false
3303.237801,691.200458,1127.406743,5657.836325,-1623.247049,-2635.027252,1737.268905,-178.834578,2299.739845,-378.979601,1333.360877,1174.092909,-1524.126312,-54.492379,-479.685497,1420.748654,-632.895222,-1134.748134,-1353.847054,-26.993768,-142.300192,-533.900336,-164.982771,1301.842385,-44.027858,372.368927,-188.426196,461.278446,784.768478,-463.210235,-576.222005,-650.025077,131.445865,657.307647,-695.596850,-168.891920,106.244854,172.746164,22.508228,84.649005,-83.691116,511.918655,-258.325556,-103.879307,40.153120,56.151657,839.451769,461.794879,35.350416,-225.037692,-168.044304,547.018215,350.068724,-6.237664,100.649950,-291.719711,-251.292414,-379.920676,-252.289694,-61.426313,4.166231,117.619511,157.492650,-324.975154,-31.205208,-164.712296,74.279268,142.150038,8.871940,251.220269,36.833146,-40.551344,-42.487013,-28.997145,162.972726,-153.576160,-67.430925,147.346512,-60.524445,-160.004017,-95.146729,-22.167257,112.383721,82.314514,-90.384238,33.667982,101.603126,-27.682171,-81.895380,112.302259,-6.090685,5.880975,-23.495922,1.931399,41.086613,-85.335763,-4.998494,-60.859288,88.940495,0.659693,-42.911150,0.000000,true
-1394.140478,-4033.862197,-1986.503186,4085.979047,1005.564897,155.340656,-18.587685,684.010749,-1474.699085,-865.645700,-90.862505,-653.196081,-1978.079725,1395.871856,-179.289500,60.013869,-116.864129,231.890155,1474.716348,-354.213697,-302.319242,-969.581934,-106.145226,-458.742065,278.162917,849.847241,152.962396,-156.116149,515.327344,534.690064,-484.331701,-376.716168,-354.746504,99.206400,384.454862,-345.526035,673.706495,-1087.328146,82.409503,600.911390,-632.990264,507.996442,-180.572167,200.696586,-566.917013,269.841049,145.262153,236.890657,262.235476,59.387576,505.440930,-146.143827,-363.596581,399.419116,412.555090,499.734600,-571.313787,202.885937,39.756245,342.559781,-71.873642,314.206114,-183.469472,136.782148,-56.235537,425.960767,-100.565139,-28.543211,169.669885,-254.080250,-85.498430,-189.732010,222.955882,-3.767205,-46.411172,-146.542628,-40.882018,-131.907058,-106.523721,119.354858,0.536996,-132.913400,-75.206595,-58.552884,-120.060947,89.373155,159.280324,10.219659,-117.535584,-56.398580,-100.831266,64.785694,-37.663519,16.815101,73.765262,8.887967,18.989889,11.922081,57.929047,-54.187535,-4.951256,-0.000000,true
-887.342661,4309.376501,-1738.144022,349.963115,-2206.004997,-1227.790722,-448.449131,-1467.230017,-791.613537,-2729.075184,114.724817,-523.880207,-53.550474,-1331.789023,238.378639,880.078413,80.660551,95.013375,1010.584262,1484.886951,-215.883758,-657.340832,95.770452,598.996509,-1625.364387,-1192.835919,310.883894,-490.574834,499.167017,644.039442,-81.971602,-127.011085,79.221469,529.950571,786.457118,121.561271,230.789186,-821.688103,28.386543,-324.104397,27.533036,-354.463067,-908.217156,-642.065831,112.270675,-413.849734,-488.494804,8.770778,-173.424554,-338.345287,-242.306996,-26.640495,-46.556460,-21.951722,536.139684,-170.062104,-1.772645,-98.483408,77.628030,-316.024204,-30.279115,-266.407435,79.711744,-111.454677,96.956301,93.511932,52.212830,-40.192224,125.046279,177.802387,-182.972975,9.530901,7.021006,160.740102,110.565809,48.402220,181.108870,77.977980,201.882935,4.336812,-30.429617,78.249486,-51.402338,-13.809745,11.747515,-77.103277,-14.484602,-82.144218,119.321283,-96.713450,96.058747,-1.964065,-54.030461,-56.984353,78.267748,104.070051,-26.329072,37.209356,-31.643851,-25.947067,50.254621,-0.000000,false
